Sentence,"kaya - [0: 'kayà', 1: 'kayâ', 2: 'káya']",,
"Takot ka sa diyos mo, kaya nerbiyoso ka.",1,,"You are afraid of your God, so you are nervous."
"Tanghali na, kaya patayin mo ang telebisyon.",1,,"It's noon, so turn off the television."
Tayo-tayo na lang kaya ang magdiwang ng kaarawan mo?,1,,Are we just going to celebrate your birthday?
Tingnan natin kung kaya nating pabilisin ang proseso nang kaunti.,2,,Let's see if we can speed up the process a little.
Tingnan natin kung kaya nating pabilisin nang kaunti ang proseso.,2,,Let's see if we can speed up the process.
Tumalon ka nang pinakamataas na kaya mo.,2,,You jump at the highest you can.
"Umuulan noon, kaya ako ay nanatili sa bahay.",1,,"It was raining, so I stayed home."
"Wala akong damit na pambahay, kaya pinambabahay ko lang ang mga damit kong pang-alis.",1,,"I didn't have a home dress, so I just put on my clothes off."
"Wala akong sinabi, kaya lalong nagalit si Tom.",1,,"I said nothing, so Tom became more and more angry."
"Wala kaming mga mamimili, kaya isinara namin ng maaga ang tindahan.",1,,"We didn't have any buyers, so we closed the store early."
"Wala nang bakanteng upuan sa bus, kaya nanatili akong nakatayo.",1,,"There was no vacant seat on the bus, so I remained standing."
"Wala nang libreng upuan sa bus, kaya nanatili akong nakatayo.",1,,"There was no free seat on the bus, so I stayed standing."
"Wala rito ang kotse niya, kaya umalis siguro siya.",1,,"His car was not here, so he probably left."
"Wala rito ang sasakyan niya, kaya umalis siguro siya.",1,,"His car was not here, so he probably left."
"Wala siyang mga pinagkakaabalahan, kaya naaaburido siya.",1,,"He had no concerns, so he was distracted."
"Wala siyang pambayad sa kinain niya, kaya pinaghugas siya ng pinggan.",1,,"He had no payment for what he ate, so he washed the dishes."
"Wala siyang sinabi, kaya nagalit siya.",1,,"He said nothing, so he was angry."
"Walang magawa si Tom, kaya umuwi siya.",1,,"Tom could do nothing, so he went home."
"Walang nakikita ang mga tao na pag-asang makamit ang kasiyahan sa buhay na ito, kaya likas nila itong hinahanap sa kabilang buhay.",1,,"No one can see people hope to achieve happiness in this life, so they are naturally looking for it in the afterlife."
